letter,startPlacement,endPlacement,timing,direction,blueMotionType,blueRotationDirection,blueSkewDir,blueHandPath,blueSkewSteps,blueStartLocation,blueEndLocation,redMotionType,redRotationDirection,redSkewDir,redHandPath,redSkewSteps,redStartLocation,redEndLocation,category
S,eta6,eta4,none,same,pro,ccw,,ccw,0,s,e,pro,ccw,,ccw,0,sw,se,3
O,eta6,zeta16,none,opp,pro,ccw,,ccw,0,s,e,anti,ccw,,cw,0,sw,nw,3
U,eta6,eta4,none,same,pro,ccw,,ccw,0,s,e,anti,cw,,ccw,0,sw,se,3
Θ,eta6,zeta6,none,none,pro,ccw,,ccw,0,s,e,static,noRotation,,static,0,sw,sw,3
Σ-,eta6,eta10,none,none,pro,ccw,,ccw,0,s,e,dash,noRotation,,dash,0,sw,ne,3
U,eta6,eta8,none,same,anti,ccw,,cw,0,s,w,pro,cw,,cw,0,sw,nw,3
R,eta6,zeta12,none,opp,anti,ccw,,cw,0,s,w,pro,ccw,,ccw,0,sw,se,3
T,eta6,eta8,none,same,anti,ccw,,cw,0,s,w,anti,ccw,,cw,0,sw,nw,3
Q,eta6,zeta12,none,opp,anti,ccw,,cw,0,s,w,anti,cw,,ccw,0,sw,se,3
Z,eta6,eta14,none,none,anti,ccw,,cw,0,s,w,static,noRotation,,static,0,sw,sw,3
X-,eta6,zeta2,none,none,anti,ccw,,cw,0,s,w,dash,noRotation,,dash,0,sw,ne,3
O,eta6,zeta16,none,opp,anti,cw,,ccw,0,s,e,pro,cw,,cw,0,sw,nw,3
V,eta6,eta4,none,same,anti,cw,,ccw,0,s,e,pro,ccw,,ccw,0,sw,se,3
N,eta6,zeta16,none,opp,anti,cw,,ccw,0,s,e,anti,ccw,,cw,0,sw,nw,3
T,eta6,eta4,none,same,anti,cw,,ccw,0,s,e,anti,cw,,ccw,0,sw,se,3
Ω,eta6,zeta6,none,none,anti,cw,,ccw,0,s,e,static,noRotation,,static,0,sw,sw,3
Δ-,eta6,eta10,none,none,anti,cw,,ccw,0,s,e,dash,noRotation,,dash,0,sw,ne,3
Θ,eta6,zeta8,none,none,static,noRotation,,static,0,s,s,pro,cw,,cw,0,sw,nw,3
Y,eta6,eta12,none,none,static,noRotation,,static,0,s,s,pro,ccw,,ccw,0,sw,se,3
Ω,eta6,zeta8,none,none,static,noRotation,,static,0,s,s,anti,ccw,,cw,0,sw,nw,3
Z,eta6,eta12,none,none,static,noRotation,,static,0,s,s,anti,cw,,ccw,0,sw,se,3
η,eta6,eta6,none,none,static,noRotation,,static,0,s,s,static,noRotation,,static,0,sw,sw,3
Φ,eta6,zeta10,none,none,static,noRotation,,static,0,s,s,dash,noRotation,,dash,0,sw,ne,3
Σ-,eta6,eta16,none,none,dash,noRotation,,dash,0,s,n,pro,cw,,cw,0,sw,nw,3
W-,eta6,zeta4,none,none,dash,noRotation,,dash,0,s,n,pro,ccw,,ccw,0,sw,se,3
Δ-,eta6,eta16,none,none,dash,noRotation,,dash,0,s,n,anti,ccw,,cw,0,sw,nw,3
X-,eta6,zeta4,none,none,dash,noRotation,,dash,0,s,n,anti,cw,,ccw,0,sw,se,3
Φ,eta6,zeta14,none,none,dash,noRotation,,dash,0,s,n,static,noRotation,,static,0,sw,sw,3
Ψ-,eta6,eta2,none,none,dash,noRotation,,dash,0,s,n,dash,noRotation,,dash,0,sw,ne,3
S,zeta8,zeta2,none,same,pro,cw,,cw,0,s,w,pro,cw,,cw,0,nw,ne,3
P,zeta8,eta14,none,opp,pro,cw,,cw,0,s,w,pro,ccw,,ccw,0,nw,sw,3
V,zeta8,zeta2,none,same,pro,cw,,cw,0,s,w,anti,ccw,,cw,0,nw,ne,3
R,zeta8,eta14,none,opp,pro,cw,,cw,0,s,w,anti,cw,,ccw,0,nw,sw,3
Σ,zeta8,eta8,none,none,pro,cw,,cw,0,s,w,static,noRotation,,static,0,nw,nw,3
Θ-,zeta8,zeta12,none,none,pro,cw,,cw,0,s,w,dash,noRotation,,dash,0,nw,se,3
M,zeta8,eta10,none,opp,pro,ccw,,ccw,0,s,e,pro,cw,,cw,0,nw,ne,3
S,zeta8,zeta6,none,same,pro,ccw,,ccw,0,s,e,pro,ccw,,ccw,0,nw,sw,3
O,zeta8,eta10,none,opp,pro,ccw,,ccw,0,s,e,anti,ccw,,cw,0,nw,ne,3
U,zeta8,zeta6,none,same,pro,ccw,,ccw,0,s,e,anti,cw,,ccw,0,nw,sw,3
W,zeta8,zeta16,none,none,pro,ccw,,ccw,0,s,e,static,noRotation,,static,0,nw,nw,3
Y-,zeta8,eta4,none,none,pro,ccw,,ccw,0,s,e,dash,noRotation,,dash,0,nw,se,3
U,zeta8,zeta2,none,same,anti,ccw,,cw,0,s,w,pro,cw,,cw,0,nw,ne,3
R,zeta8,eta14,none,opp,anti,ccw,,cw,0,s,w,pro,ccw,,ccw,0,nw,sw,3
T,zeta8,zeta2,none,same,anti,ccw,,cw,0,s,w,anti,ccw,,cw,0,nw,ne,3
Q,zeta8,eta14,none,opp,anti,ccw,,cw,0,s,w,anti,cw,,ccw,0,nw,sw,3
